timestamp,node,cpu_pct,pods,
1780892108.2311766,node-1,1.4,"{worker-17c37a0fdd5d1932-6d9955d87-xd22z"": 0.25","[' ""worker-6139f1f15c382fa8-68cfdb745d-pd29c"": 0.19', ' ""kube-apiserver-node-1"": 34.99}""']"
1780892108.4097676,node-0,31.2,"{worker-8ef86af9762af347-5d684cffd6-lz86n"": 0.12","[' ""worker-b81ed828cb5e7192-7bfd7c5685-h65bx"": 0.15', ' ""worker-4f5eafc2b3d6ead5-6c696d7b65-cscdc"": 0.24', ' ""worker-1c4353c2703fb166-d4f59b798-75mws"": 0.17', ' ""metrics-server-574d47cd58-k5qp5"": 3.17}""']"
1780892109.22379,node-2,1.1,"{worker-846a33ce84d2b4bf-954df86fc-5sf9x"": 0.2","[' ""worker-b5cd624f4d49f3dc-59b8c9c7f-kwz7r"": 0.13', ' ""worker-5fb02cfeb979fec1-b7964b5b5-bw8k5"": 0.18', ' ""worker-5466ca598a6b68be-84cc7d4789-45mnl"": 0.22}""']"
1780892109.3461137,node-1,0.9,"{worker-dd81ee53ae84624a-7864cc945c-h98b4"": 0.27","[' ""worker-e92487a7ec042235-86595c994d-zqptx"": 0.11', ' ""worker-341a2b2b3affc84b-f47989649-lvlrl"": 0.14', ' ""worker-a55aa23d7c2a7c80-6d76687844-tfn7p"": 0.24', ' ""worker-93c57176225d0e98-5996db775f-msqwk"": 0.12', ' ""worker-975dcb62013d897e-bf4bb4866-t97j6"": 0.23}""']"
1780892109.5329933,node-0,31.0,"{worker-37a025445321ed43-669f9b9d4b-j9gdf"": 0.18","[' ""worker-a03d8277f9ec95f7-64cb48b585-dkz7s"": 0.24', ' ""worker-c2ea3952c7a77d53-bb4557796-mz52j"": 0.11', ' ""worker-45adb7409f430f55-5454898758-2pjcl"": 0.13', ' ""worker-cd1309cf6db9f944-7db89d747d-8mhqg"": 0.18', ' ""node-metrics-collector-nt6lw"": 12.51}""']"
1780892110.3436916,node-2,1.1,"{speaker-hbcl2"": 19.68","[' ""worker-938e7f49544b3293-8698f95b77-nq6jt"": 0.25', ' ""worker-2709aa426c73ec15-6c886bcf5c-gfvlg"": 0.17', ' ""worker-67b406bcce86bae0-5c685b4bc4-xvdmr"": 0.19}""']"
1780892110.4551773,node-1,1.2,"{worker-41b8611922a7e03f-86b98fb547-sn6s2"": 0.23","[' ""worker-a6bbb3b6d85b46b1-66c4fcf54f-fmcr2"": 0.19', ' ""worker-a9fd6223e00378ed-64cdd745bd-nh7vk"": 0.19', ' ""worker-85effaac4d59e8d2-779d7b8d97-djjvc"": 0.14', ' ""worker-f8a0e46efc7202b8-64b7f96d84-n47q9"": 0.22', ' ""calico-node-vhgtx"": 42.27}""']"
1780892110.6515777,node-0,31.3,"{worker-bc11bd0a836eb393-6755f74c46-s2rsn"": 0.17","[' ""kube-scheduler-node-0"": 3.02', ' ""kube-apiserver-node-0"": 59.15}""']"
1780892111.4623787,node-2,0.9,"{worker-1de6db5cc9a0296e-587f7cccc5-fprz7"": 0.19","[' ""kubernetes-metrics-scraper-55bc8b9b54-wl5w8"": 0.19}""']"
1780892111.5657692,node-1,1.2,"{worker-1573b95c039e51cc-bcd7cd759-dzmqq"": 0.21","[' ""worker-4b22cc3e1988174e-7756bbf56d-kms2l"": 0.25', ' ""worker-1c5682a8e57d04d0-6d8c5ff796-bz4fj"": 0.15', ' ""kube-controller-manager-node-1"": 9.48}""']"
