timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303836.1514025,node-2,0.0,3315.0,257840.9,1.3,0.68,3.204,3.161
1780303836.2958014,node-0,1.12,3596.1,257840.9,1.4,0.684,0.844,0.711
1780303836.9324481,node-1,0.53,3782.9,257840.9,1.5,0.783,6.573,7.574
1780303837.1535552,node-2,0.3,3317.2,257840.9,1.3,0.68,3.204,3.161
1780303837.2981794,node-0,0.38,3594.7,257840.9,1.4,0.684,0.844,0.711
1780303837.93476,node-1,0.7,3781.7,257840.9,1.5,0.783,6.573,7.574
1780303838.1554565,node-2,0.67,3330.2,257840.9,1.3,0.68,3.204,3.161
1780303838.3003669,node-0,0.33,3594.3,257840.9,1.4,0.684,0.844,0.711
1780303838.936989,node-1,0.57,3781.4,257840.9,1.5,0.783,6.573,7.574
1780303839.1577249,node-2,0.45,3316.0,257840.9,1.3,0.68,3.204,3.161
1780303839.3025775,node-0,0.23,3594.1,257840.9,1.4,0.684,0.844,0.711
1780303839.9391944,node-1,0.32,3781.2,257840.9,1.5,0.72,6.463,7.533
1780303840.1600335,node-2,0.07,3315.4,257840.9,1.3,0.625,3.151,3.144
1780303840.3049393,node-0,0.78,3605.6,257840.9,1.4,0.629,0.83,0.708
1780303840.9413612,node-1,0.4,3788.8,257840.9,1.5,0.72,6.463,7.533
1780303841.162174,node-2,0.17,3314.9,257840.9,1.3,0.625,3.151,3.144
1780303841.3073814,node-0,0.42,3585.3,257840.9,1.4,0.629,0.83,0.708
1780303841.9435682,node-1,0.97,3789.2,257840.9,1.5,0.72,6.463,7.533
1780303842.1644137,node-2,0.4,3319.5,257840.9,1.3,0.625,3.151,3.144
1780303842.3097475,node-0,0.75,3587.1,257840.9,1.4,0.629,0.83,0.708
1780303842.9458663,node-1,0.53,3788.1,257840.9,1.5,0.72,6.463,7.533
1780303843.1666756,node-2,0.53,3319.9,257840.9,1.3,0.625,3.151,3.144
1780303843.3119595,node-0,0.25,3585.5,257840.9,1.4,0.629,0.83,0.708
1780303843.948019,node-1,0.57,3787.9,257840.9,1.5,0.72,6.463,7.533
1780303844.1690907,node-2,0.38,3320.2,257840.9,1.3,0.625,3.151,3.144
1780303844.3141177,node-0,0.3,3584.7,257840.9,1.4,0.629,0.83,0.708
1780303844.9502463,node-1,0.57,3779.5,257840.9,1.5,0.662,6.356,7.493
1780303845.1713853,node-2,0.07,3319.1,257840.9,1.3,0.575,3.098,3.126
1780303845.3163362,node-0,0.57,3584.0,257840.9,1.4,0.578,0.816,0.704
1780303845.9525802,node-1,0.55,3789.2,257840.9,1.5,0.662,6.356,7.493
1780303846.1734993,node-2,0.2,3318.6,257840.9,1.3,0.575,3.098,3.126
1780303846.3186438,node-0,0.62,3580.4,257840.9,1.4,0.578,0.816,0.704
1780303846.9547594,node-1,0.84,3788.2,257840.9,1.5,0.662,6.356,7.493
1780303847.1756496,node-2,0.35,3318.6,257840.9,1.3,0.575,3.098,3.126
1780303847.321014,node-0,0.4,3580.1,257840.9,1.4,0.578,0.816,0.704
1780303847.957092,node-1,1.17,3788.2,257840.9,1.5,0.662,6.356,7.493
1780303848.1778553,node-2,0.33,3331.8,257840.9,1.3,0.575,3.098,3.126
1780303848.3232236,node-0,0.2,3579.3,257840.9,1.4,0.578,0.816,0.704
1780303848.9593978,node-1,0.45,3787.8,257840.9,1.5,0.662,6.356,7.493
1780303849.179466,node-2,0.5,3313.1,257840.9,1.3,0.575,3.098,3.126
1780303849.3257751,node-0,0.47,3579.3,257840.9,1.4,0.578,0.816,0.704
1780303849.961657,node-1,0.4,3787.3,257840.9,1.5,0.608,6.25,7.452
1780303850.182236,node-2,0.2,3312.0,257840.9,1.3,0.529,3.046,3.109
1780303850.328057,node-0,0.45,3592.4,257840.9,1.4,0.532,0.802,0.7
1780303850.9639826,node-1,0.57,3793.7,257840.9,1.5,0.608,6.25,7.452
1780303851.1845293,node-2,0.8,3311.7,257840.9,1.3,0.529,3.046,3.109
1780303851.330323,node-0,0.42,3583.7,257840.9,1.4,0.532,0.802,0.7
1780303851.9664016,node-1,0.8,3793.1,257840.9,1.5,0.608,6.25,7.452
1780303852.1868029,node-2,0.3,3313.4,257840.9,1.3,0.529,3.046,3.109
1780303852.332608,node-0,0.42,3583.5,257840.9,1.4,0.532,0.802,0.7
1780303852.968728,node-1,0.28,3792.8,257840.9,1.5,0.608,6.25,7.452
1780303853.1890807,node-2,0.28,3320.5,257840.9,1.3,0.529,3.046,3.109
1780303853.3348458,node-0,0.25,3583.7,257840.9,1.4,0.532,0.802,0.7
1780303853.9710183,node-1,0.38,3791.8,257840.9,1.5,0.608,6.25,7.452
1780303854.1914496,node-2,0.4,3320.5,257840.9,1.3,0.529,3.046,3.109
1780303854.3370652,node-0,0.2,3583.3,257840.9,1.4,0.532,0.802,0.7
1780303854.973354,node-1,0.65,3794.2,257840.9,1.5,0.56,6.146,7.412
1780303855.1937053,node-2,0.17,3320.1,257840.9,1.3,0.486,2.996,3.092
1780303855.339444,node-0,0.75,3581.6,257840.9,1.4,0.569,0.806,0.702
1780303855.97575,node-1,0.38,3798.6,257840.9,1.5,0.56,6.146,7.412
1780303856.1958258,node-2,0.35,3319.9,257840.9,1.3,0.486,2.996,3.092
1780303856.3417783,node-0,0.75,3586.6,257840.9,1.4,0.569,0.806,0.702
1780303856.9781687,node-1,0.65,3797.8,257840.9,1.5,0.56,6.146,7.412
1780303857.1979673,node-2,0.23,3319.6,257840.9,1.3,0.486,2.996,3.092
1780303857.3441176,node-0,0.5,3586.1,257840.9,1.4,0.569,0.806,0.702
1780303857.980009,node-1,1.61,3800.0,257840.9,1.5,0.56,6.146,7.412
1780303858.2001965,node-2,0.7,3337.1,257840.9,1.3,0.486,2.996,3.092
1780303858.3464396,node-0,0.47,3586.6,257840.9,1.4,0.569,0.806,0.702
1780303858.9823966,node-1,0.27,3800.0,257840.9,1.5,0.56,6.146,7.412
1780303859.202545,node-2,0.57,3322.4,257840.9,1.3,0.486,2.996,3.092
1780303859.3487241,node-0,0.3,3586.8,257840.9,1.4,0.569,0.806,0.702
1780303859.984579,node-1,0.97,3798.9,257840.9,1.5,0.515,6.044,7.372
1780303860.204908,node-2,0.45,3321.9,257840.9,1.3,0.447,2.946,3.075
1780303860.3509912,node-0,0.53,3595.8,257840.9,1.4,0.523,0.792,0.698
1780303860.986827,node-1,0.44,3804.1,257840.9,1.5,0.515,6.044,7.372
1780303861.2071846,node-2,0.05,3321.1,257840.9,1.3,0.447,2.946,3.075
1780303861.3533373,node-0,0.75,3589.8,257840.9,1.4,0.523,0.792,0.698
1780303861.9892159,node-1,0.95,3806.0,257840.9,1.5,0.515,6.044,7.372
1780303862.209351,node-2,0.47,3320.8,257840.9,1.3,0.447,2.946,3.075
1780303862.3556185,node-0,0.3,3590.4,257840.9,1.4,0.523,0.792,0.698
1780303862.9915688,node-1,0.38,3805.2,257840.9,1.5,0.515,6.044,7.372
1780303863.2115982,node-2,0.33,3326.7,257840.9,1.3,0.447,2.946,3.075
1780303863.3578057,node-0,0.67,3592.7,257840.9,1.4,0.523,0.792,0.698
1780303863.993914,node-1,0.42,3804.6,257840.9,1.5,0.515,6.044,7.372
1780303864.2139084,node-2,0.95,3326.4,257840.9,1.3,0.447,2.946,3.075
1780303864.35965,node-0,0.32,3592.0,257840.9,1.4,0.523,0.792,0.698
1780303864.9960825,node-1,0.7,3799.0,257840.9,1.5,0.473,5.943,7.332
1780303865.2165842,node-2,0.05,3325.1,257840.9,1.3,0.411,2.896,3.059
1780303865.3618448,node-0,0.7,3592.4,257840.9,1.4,0.481,0.779,0.694
1780303865.9984908,node-1,0.52,3803.8,257840.9,1.5,0.473,5.943,7.332
1780303866.21887,node-2,0.05,3325.1,257840.9,1.3,0.411,2.896,3.059
1780303866.3639193,node-0,0.8,3600.7,257840.9,1.4,0.481,0.779,0.694
1780303867.0009034,node-1,0.52,3803.0,257840.9,1.5,0.473,5.943,7.332
1780303867.2211692,node-2,0.12,3324.3,257840.9,1.3,0.411,2.896,3.059
1780303867.3664181,node-0,0.25,3599.7,257840.9,1.4,0.481,0.779,0.694
1780303868.0033023,node-1,0.57,3802.7,257840.9,1.5,0.473,5.943,7.332
1780303868.2234185,node-2,0.33,3325.9,257840.9,1.3,0.411,2.896,3.059
1780303868.3686225,node-0,0.12,3598.0,257840.9,1.4,0.481,0.779,0.694
1780303869.0057151,node-1,0.82,3801.9,257840.9,1.5,0.473,5.943,7.332
1780303869.2258763,node-2,0.57,3301.2,257840.9,1.3,0.411,2.896,3.059
1780303869.3708572,node-0,0.35,3597.3,257840.9,1.4,0.481,0.779,0.694
1780303870.0081177,node-1,0.62,3801.7,257840.9,1.5,0.596,5.877,7.303
1780303870.2282517,node-2,0.07,3300.7,257840.9,1.3,0.458,2.865,3.047
1780303870.3731034,node-0,0.7,3613.2,257840.9,1.4,0.443,0.766,0.69
1780303871.01056,node-1,0.38,3800.0,257840.9,1.5,0.596,5.877,7.303
1780303871.2305257,node-2,0.33,3299.4,257840.9,1.3,0.458,2.865,3.047
1780303871.3755004,node-0,0.97,3595.1,257840.9,1.4,0.443,0.766,0.69
1780303872.0129511,node-1,0.85,3799.1,257840.9,1.5,0.596,5.877,7.303
1780303872.232915,node-2,0.4,3300.4,257840.9,1.3,0.458,2.865,3.047
1780303872.3778584,node-0,0.6,3597.1,257840.9,1.4,0.443,0.766,0.69
1780303873.015276,node-1,0.47,3799.0,257840.9,1.5,0.596,5.877,7.303
1780303873.2352467,node-2,0.68,3306.0,257840.9,1.3,0.458,2.865,3.047
1780303873.3801258,node-0,0.38,3595.7,257840.9,1.4,0.443,0.766,0.69
1780303874.0175722,node-1,0.32,3798.5,257840.9,1.5,0.596,5.877,7.303
1780303874.2377148,node-2,0.4,3305.5,257840.9,1.3,0.458,2.865,3.047
1780303874.38232,node-0,0.3,3594.5,257840.9,1.4,0.443,0.766,0.69
1780303875.0199103,node-1,1.09,3801.0,257840.9,1.5,0.548,5.78,7.264
1780303875.240029,node-2,0.1,3305.0,257840.9,1.3,0.502,2.833,3.036
1780303875.384482,node-0,0.53,3594.2,257840.9,1.4,0.407,0.752,0.686
1780303876.022336,node-1,0.3,3805.7,257840.9,1.5,0.548,5.78,7.264
1780303876.2421956,node-2,0.07,3305.0,257840.9,1.3,0.502,2.833,3.036
